id,category,short_form,full_form,meaning
1,general,APJ Abdul Kalam,Avul Pakir Jainulabdeen Abdul Kalam,
2,general,ASAP,As Soon As Possible,
3,general,CFL,Compact fluorescent lamp,
4,general,COO,Chief Operating Officer,
5,general,DSLR,Digital single-lens reflex,
6,general,DSP,Deputy Superintendent of Police,
7,general,F.O.R,Freight on Road,
8,general,IPL,Indian Premier League,
9,general,NCR,National Capital Region,
10,general,PS,Postscript,
11,general,PVC,Poly Vinyl Chloride,
12,general,RDX,Research Department Explosive / Royal Demolition Explosive,
13,general,RPM,Revolutions Per Minute,
14,general,RSVP,Repondez s'il vous plait,
15,general,SDM,Sub Divisional Magistrate,
16,general,SHO,Station House Officer,
17,general,SIT,Special Investigation Team,
18,general,SSB,Service Selection Board,
19,general,VISA,"charta visa, lit in Latin",
20,Automobile,ABS,Anti-lock Braking System,
,Automobile,PUC,Pollution Under Control,
,Automobile,RPM,Revolutions Per Minute,
,Automobile,JCB,Joseph Cyril Bamford,
,Automobile,MRF,Madras Rubber Factory,
,Automobile,RTO,Regional Transport Office/ Road Transport Office,
,Automobile,SUV,Sport Utility Vehicle,
,Automobile,TVS,Thirukkurungudi Vengaram Sundram,
,Banking,ADB,Asian Development Bank,
,Banking,ATM,Automated Teller Machine,
,Banking,CBI,Central bureau of Investigation,
,Banking,HDFC,Housing Development Finance Corporation,
,Banking,HSBC,Hong Kong and Shanghai Banking Corporation,
,Banking,ICICI,Credit and Investment Corporation of India,
,Banking,IDBI,Industrial Development Bank of India,
,Banking,IFSC,Indian Financial System Code,
,Banking,INR,Indian Rupee,
,Banking,NEFT,National Electronic Funds Transfer,
,Banking,RTGS,Real-Time Gross Settlement,
,Banking,RBL,Ratnakar Bank Limited,
,Banking,PAN,Permanent Account Number,
,Banking,PO,Probationary Officer & Post Office,
,Banking,TDS,Tax Deducted at Source,
,Banking,ECS,Electronic Clearing Service,
,Banking,ESI,Employees' State Insurance,
,Banking,IRDA,Employees' State Insurance,
,Banking,SEBI,Securities and Exchange Board of India,
,Banking,SIDBI,Small Industries Development Bank of India,
,Banking,SLR,Single Lens Reflex & Statutory Liquidity Ratio,
,Banking,UCO,United Commercial Bank,
,Educational,AICTE,All India Council for Technical Education,
,Educational,AMIE,Associate Member of the Institution of Engineers,
,Educational,BBA,Bachelor of Business Administration,
,Educational,BCA,Bachelor of Computer Applications,
,Educational,BA,Bachelor of Arts,
,Educational,B.Tech,Bachelor of Technology,
,Educational,B.Com,Bachelor of Commerce,
,Educational,B.Ed,Bachelor of Education,
,Educational,BE,Bachelor of Engineering,
,Educational,BHMS,Bachelor of Homeopathic Medicine and Surgery,
